"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 14:23:25 GMT 2024","Mon Oct 21 14:23:26 GMT 2024","752","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:23:26 GMT 2024","Mon Oct 21 14:23:27 GMT 2024","786","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyAbilityToRetrieveChannelsByVideoIdsTest","verifyAbilityToRetrieveChannelsByVideoIdsTest()",""
"failed","Mon Oct 21 14:23:33 GMT 2024","Mon Oct 21 14:23:33 GMT 2024","762","","com.task.RetrieveCurrentUserTimeTest","","com.task.RetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest","verifyAbilityToRetrieveCurrentUserTimeTest()",""
"passed","Mon Oct 21 14:23:27 GMT 2024","Mon Oct 21 14:23:29 GMT 2024","1780","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:23:21 GMT 2024","Mon Oct 21 14:23:22 GMT 2024","833","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:23:18 GMT 2024","Mon Oct 21 14:23:21 GMT 2024","3633","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:23:30 GMT 2024","Mon Oct 21 14:23:30 GMT 2024","718","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 14:23:30 GMT 2024","Mon Oct 21 14:23:31 GMT 2024","719","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:23:32 GMT 2024","Mon Oct 21 14:23:33 GMT 2024","702","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 14:23:23 GMT 2024","Mon Oct 21 14:23:25 GMT 2024","1852","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [1] channelId=1639111",""
"passed","Mon Oct 21 14:23:29 GMT 2024","Mon Oct 21 14:23:30 GMT 2024","736","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsReturnedOnlyForNext24HoursTest","verifyProgramsReturnedOnlyForNext24HoursTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:23:26 GMT 2024","Mon Oct 21 14:23:26 GMT 2024","785","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramsSortedByStartTimestampTest","verifyProgramsSortedByStartTimestampTest(int) [3] channelId=1639231",""
"passed","Mon Oct 21 14:23:31 GMT 2024","Mon Oct 21 14:23:32 GMT 2024","715","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyZeroPastProgramsDisplayedTest","verifyZeroPastProgramsDisplayedTest(int) [2] channelId=1585681",""
"passed","Mon Oct 21 14:23:22 GMT 2024","Mon Oct 21 14:23:23 GMT 2024","825","","com.task.RetrieveChannelsInfoTest","","com.task.RetrieveChannelsInfoTest","verifyProgramExistForCurrentTimeTest","verifyProgramExistForCurrentTimeTest(int) [3] channelId=1639231",""
